"id","description","name","invoice_label","sequence","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@es","invoice_label@es"
"account_tax_template_IV_0","Sales Tax","13%","IV - sales","10","13.0","percent","sale","tax_group_13","base","invoice","","Impuesto sobre las ventas","IV - ventas"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""
"account_tax_template_IV_1","Purchase Tax","13%","IV - purchases","10","13.0","percent","purchase","tax_group_13","base","invoice","","Impuesto de compra","IV - compra"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""
"account_tax_01_01","IVA (Exento)","0%","IV - sales","11","0.0","percent","sale","tax_group_0","base","invoice","","IVA (Exento)"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""

"account_tax_01_02","Impuesto al Valor Agregado (exportaciones) 0%","Impuesto al Valor Agregado (exportaciones) 0%","Impuesto al Valor Agregado (exportaciones) 0%","11","0.0","percent","sale","tax_group_0","base","invoice","","Impuesto al Valor Agregado (exportaciones) 0%"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""


"ret_1_iva","-1% Withholding IVA","-1% Withholding IVA","Withholding 1% IVA","10","-1.0","percent","sale","tax_group_retencion_1","base","invoice","","Retención 1% IVA"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""
"ret_13_iva","-13% Withholding IVA","-13% Withholding IVA","Withholding 13% IVA","10","-13.0","percent","sale","tax_group_retencion_13","base","invoice","","Retención 13% IVA"
"","","","","","","","","","tax","invoice","account_account_template_0_212101","",""
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","account_account_template_0_212101","",""
