id,name,dte_code,country_id/id,state_id/id
municipality_0101,AHUACHAPAN,01,base.sv,l10n_sv_address.state_sv_01
municipality_0102,APANECA,02,base.sv,l10n_sv_address.state_sv_01
municipality_0103,ATIQUIZAYA,03,base.sv,l10n_sv_address.state_sv_01
municipality_0104,CONCEPCION DE ATACO,04,base.sv,l10n_sv_address.state_sv_01
municipality_0105,EL REFUGIO,05,base.sv,l10n_sv_address.state_sv_01
municipality_0106,GUAYMANGO,06,base.sv,l10n_sv_address.state_sv_01
municipality_0107,JUJUTLA,07,base.sv,l10n_sv_address.state_sv_01
municipality_0108,SAN FRANCISCO MENENDEZ,08,base.sv,l10n_sv_address.state_sv_01
municipality_0109,SAN LORENZO,09,base.sv,l10n_sv_address.state_sv_01
municipality_0110,SAN PEDRO PUXTLA,10,base.sv,l10n_sv_address.state_sv_01
municipality_0111,TACUBA,11,base.sv,l10n_sv_address.state_sv_01
municipality_0112,TURÍN,12,base.sv,l10n_sv_address.state_sv_01
municipality_0201,CANDELARIA DE LA FRONTERA,01,base.sv,l10n_sv_address.state_sv_02
municipality_0202,COATEPEQUE,02,base.sv,l10n_sv_address.state_sv_02
municipality_0203,CHALCHUAPA,03,base.sv,l10n_sv_address.state_sv_02
municipality_0204,EL CONGO,04,base.sv,l10n_sv_address.state_sv_02
municipality_0205,EL PORVENIR,05,base.sv,l10n_sv_address.state_sv_02
municipality_0206,MASAHUAT,06,base.sv,l10n_sv_address.state_sv_02
municipality_0207,METAPÁN,07,base.sv,l10n_sv_address.state_sv_02
municipality_0208,SAN ANTONIO PAJONAL,08,base.sv,l10n_sv_address.state_sv_02
municipality_0209,SAN SEBASTIÁN SALITRILLO,09,base.sv,l10n_sv_address.state_sv_02
municipality_0210,SANTA ANA,10,base.sv,l10n_sv_address.state_sv_02
municipality_0211,STA ROSA GUACHI,11,base.sv,l10n_sv_address.state_sv_02
municipality_0212,STGO D LA FRONT,12,base.sv,l10n_sv_address.state_sv_02
municipality_0213,TEXISTEPEQUE,13,base.sv,l10n_sv_address.state_sv_02
municipality_0301,ACAJUTLA,01,base.sv,l10n_sv_address.state_sv_03
municipality_0301,ACAJUTLA,01,base.sv,l10n_sv_address.state_sv_03
municipality_0302,ARMENIA,02,base.sv,l10n_sv_address.state_sv_03
municipality_0303,CALUCO,03,base.sv,l10n_sv_address.state_sv_03
municipality_0304,CUISNAHUAT,04,base.sv,l10n_sv_address.state_sv_03
municipality_0305,STA I ISHUATAN,05,base.sv,l10n_sv_address.state_sv_03
municipality_0306,IZALCO,06,base.sv,l10n_sv_address.state_sv_03
municipality_0307,JUAYÚA,07,base.sv,l10n_sv_address.state_sv_03
municipality_0308,NAHUIZALCO,08,base.sv,l10n_sv_address.state_sv_03
municipality_0309,NAHULINGO,09,base.sv,l10n_sv_address.state_sv_03
municipality_0310,SALCOATITÁN,10,base.sv,l10n_sv_address.state_sv_03
municipality_0311,SAN ANTONIO DEL MONTE,11,base.sv,l10n_sv_address.state_sv_03
municipality_0312,SAN JULIÁN,12,base.sv,l10n_sv_address.state_sv_03
municipality_0313,STA C MASAHUAT,13,base.sv,l10n_sv_address.state_sv_03
municipality_0314,SANTO DOMINGO GUZMÁN,14,base.sv,l10n_sv_address.state_sv_03
municipality_0315,SONSONATE,15,base.sv,l10n_sv_address.state_sv_03
municipality_0316,SONZACATE,16,base.sv,l10n_sv_address.state_sv_03
municipality_0401,AGUA CALIENTE,01,base.sv,l10n_sv_address.state_sv_04
municipality_0402,ARCATAO,02,base.sv,l10n_sv_address.state_sv_04
municipality_0403,AZACUALPA,03,base.sv,l10n_sv_address.state_sv_04
municipality_0404,CITALÁ,04,base.sv,l10n_sv_address.state_sv_04
municipality_0405,COMALAPA,05,base.sv,l10n_sv_address.state_sv_04
municipality_0406,CONCEPCIÓN QUEZALTEPEQUE,06,base.sv,l10n_sv_address.state_sv_04
municipality_0407,CHALATENANGO,07,base.sv,l10n_sv_address.state_sv_04
municipality_0408,DULCE NOM MARÍA,08,base.sv,l10n_sv_address.state_sv_04
municipality_0409,EL CARRIZAL,09,base.sv,l10n_sv_address.state_sv_04
municipality_0410,EL PARAÍSO,10,base.sv,l10n_sv_address.state_sv_04
municipality_0411,LA LAGUNA,11,base.sv,l10n_sv_address.state_sv_04
municipality_0412,LA PALMA,12,base.sv,l10n_sv_address.state_sv_04
municipality_0413,LA REINA,13,base.sv,l10n_sv_address.state_sv_04
municipality_0414,LAS VUELTAS,14,base.sv,l10n_sv_address.state_sv_04
municipality_0415,NOMBRE DE JESUS,15,base.sv,l10n_sv_address.state_sv_04
municipality_0416,NVA CONCEPCIÓN,16,base.sv,l10n_sv_address.state_sv_04
municipality_0417,NUEVA TRINIDAD,17,base.sv,l10n_sv_address.state_sv_04
municipality_0418,OJOS DE AGUA,18,base.sv,l10n_sv_address.state_sv_04
municipality_0419,POTONICO,19,base.sv,l10n_sv_address.state_sv_04
municipality_0420,SAN ANT LA CRUZ,20,base.sv,l10n_sv_address.state_sv_04
municipality_0421,SAN ANT RANCHOS,21,base.sv,l10n_sv_address.state_sv_04
municipality_0422,SAN FERNANDO,22,base.sv,l10n_sv_address.state_sv_04
municipality_0423,SAN FRANCISCO LEMPA,23,base.sv,l10n_sv_address.state_sv_04
municipality_0424,SAN FRANCISCO MORAZÁN,24,base.sv,l10n_sv_address.state_sv_04
municipality_0425,SAN IGNACIO,25,base.sv,l10n_sv_address.state_sv_04
municipality_0426,SAN I LABRADOR,26,base.sv,l10n_sv_address.state_sv_04
municipality_0427,SAN J CANCASQUE,27,base.sv,l10n_sv_address.state_sv_04
municipality_0428,SAN JOSE FLORES,28,base.sv,l10n_sv_address.state_sv_04
municipality_0429,SAN LUIS CARMEN,29,base.sv,l10n_sv_address.state_sv_04
municipality_0430,SN MIG MERCEDES,30,base.sv,l10n_sv_address.state_sv_04
municipality_0431,SAN RAFAEL,31,base.sv,l10n_sv_address.state_sv_04
municipality_0432,SANTA RITA,32,base.sv,l10n_sv_address.state_sv_04
municipality_0433,TEJUTLA,33,base.sv,l10n_sv_address.state_sv_04
municipality_0501,ANTGO CUSCATLÁN,01,base.sv,l10n_sv_address.state_sv_05
municipality_0502,CIUDAD ARCE,02,base.sv,l10n_sv_address.state_sv_05
municipality_0503,COLON,03,base.sv,l10n_sv_address.state_sv_05
municipality_0504,COMASAGUA,04,base.sv,l10n_sv_address.state_sv_05
municipality_0505,CHILTIUPAN,05,base.sv,l10n_sv_address.state_sv_05
municipality_0506,HUIZÚCAR,06,base.sv,l10n_sv_address.state_sv_05
municipality_0507,JAYAQUE,07,base.sv,l10n_sv_address.state_sv_05
municipality_0508,JICALAPA,08,base.sv,l10n_sv_address.state_sv_05
municipality_0509,LA LIBERTAD,09,base.sv,l10n_sv_address.state_sv_05
municipality_0510,NUEVO CUSCATLÁN,10,base.sv,l10n_sv_address.state_sv_05
municipality_0511,SANTA TECLA,11,base.sv,l10n_sv_address.state_sv_05
municipality_0512,QUEZALTEPEQUE,12,base.sv,l10n_sv_address.state_sv_05
municipality_0513,SACACOYO,13,base.sv,l10n_sv_address.state_sv_05
municipality_0514,SN J VILLANUEVA,14,base.sv,l10n_sv_address.state_sv_05
municipality_0515,SAN JUAN OPICO,15,base.sv,l10n_sv_address.state_sv_05
municipality_0516,SAN MATÍAS,16,base.sv,l10n_sv_address.state_sv_05
municipality_0517,SAN P TACACHICO,17,base.sv,l10n_sv_address.state_sv_05
municipality_0518,TAMANIQUE,18,base.sv,l10n_sv_address.state_sv_05
municipality_0519,TALNIQUE,19,base.sv,l10n_sv_address.state_sv_05
municipality_0520,TEOTEPEQUE,20,base.sv,l10n_sv_address.state_sv_05
municipality_0521,TEPECOYO,21,base.sv,l10n_sv_address.state_sv_05
municipality_0522,ZARAGOZA,22,base.sv,l10n_sv_address.state_sv_05
municipality_0601,AGUILARES,01,base.sv,l10n_sv_address.state_sv_06
municipality_0602,APOPA,02,base.sv,l10n_sv_address.state_sv_06
municipality_0603,AYUTUXTEPEQUE,03,base.sv,l10n_sv_address.state_sv_06
municipality_0604,CUSCATANCINGO,04,base.sv,l10n_sv_address.state_sv_06
municipality_0605,EL PAISNAL,05,base.sv,l10n_sv_address.state_sv_06
municipality_0606,GUAZAPA,06,base.sv,l10n_sv_address.state_sv_06
municipality_0607,ILOPANGO,07,base.sv,l10n_sv_address.state_sv_06
municipality_0608,MEJICANOS,08,base.sv,l10n_sv_address.state_sv_06
municipality_0609,NEJAPA,09,base.sv,l10n_sv_address.state_sv_06
municipality_0610,PANCHIMALCO,10,base.sv,l10n_sv_address.state_sv_06
municipality_0611,ROSARIO DE MORA,11,base.sv,l10n_sv_address.state_sv_06
municipality_0612,SAN MARCOS,12,base.sv,l10n_sv_address.state_sv_06
municipality_0613,SAN MARTIN,13,base.sv,l10n_sv_address.state_sv_06
municipality_0614,SAN SALVADOR,14,base.sv,l10n_sv_address.state_sv_06
municipality_0615,STG TEXACUANGOS,15,base.sv,l10n_sv_address.state_sv_06
municipality_0616,SANTO TOMAS,16,base.sv,l10n_sv_address.state_sv_06
municipality_0617,SOYAPANGO,17,base.sv,l10n_sv_address.state_sv_06
municipality_0618,TONACATEPEQUE,18,base.sv,l10n_sv_address.state_sv_06
municipality_0619,CIUDAD DELGADO,19,base.sv,l10n_sv_address.state_sv_06
municipality_0701,CANDELARIA,01,base.sv,l10n_sv_address.state_sv_07
municipality_0702,COJUTEPEQUE,02,base.sv,l10n_sv_address.state_sv_07
municipality_0703,EL CARMEN,03,base.sv,l10n_sv_address.state_sv_07
